#day                      flux
 1.225130094997745e+03 1.007483562500000e+06 
 1.225136906439657e+03 1.007646750000000e+06 
 1.225143717781539e+03 1.007594062500000e+06 
 1.225150529223451e+03 1.008188562500000e+06 
 1.225157340765392e+03 1.007749812500000e+06 
 1.225164152207326e+03 1.007855500000000e+06 
 1.225170963549237e+03 1.007768250000000e+06 
 1.225177774991178e+03 1.007962000000000e+06 
 1.225184586433119e+03 1.007671250000000e+06 
 1.225191397975061e+03 1.007976312500000e+06 
 1.225198209417002e+03 1.007721562500000e+06 
 1.225205020758971e+03 1.007922937500000e+06 
 1.225211832200912e+03 1.007766750000000e+06 
 1.225218643642882e+03 1.007924500000000e+06 
 1.225225455184845e+03 1.007736437500000e+06 
 1.225232266626816e+03 1.007737562500000e+06 
 1.225239077968814e+03 1.007637687500000e+06 
 1.225245889410784e+03 1.007805000000000e+06 
 1.225252700952784e+03 1.007539625000000e+06 
 1.225259512394783e+03 1.007668937500000e+06 
 1.225266323836782e+03 1.008127625000000e+06 
 1.225273135178781e+03 1.008076500000000e+06 
 1.225279946620780e+03 1.007983125000000e+06 
 1.225286758162802e+03 1.007669562500000e+06 
 1.225293569604830e+03 1.008146750000000e+06 
 1.225300380946828e+03 1.007639000000000e+06 
 1.225307192388886e+03 1.007932687500000e+06 
 1.225314003930915e+03 1.008016625000000e+06 
 1.225320815372972e+03 1.007645812500000e+06 
 1.225327626815000e+03 1.007797125000000e+06 
 1.225334438157057e+03 1.007589562500000e+06 
 1.225341249699115e+03 1.007648562500000e+06 
 1.225348061141165e+03 1.007876437500000e+06 
 1.225354872583252e+03 1.008043625000000e+06 
 1.225361684025309e+03 1.007737625000000e+06 
 1.225368495367395e+03 1.007848437500000e+06 
 1.225375306909482e+03 1.007687062500000e+06 
 1.225382118351568e+03 1.007876937500000e+06 
 1.225388929793655e+03 1.007726562500000e+06 
 1.225395741335742e+03 1.007851250000000e+06 
 1.225402552677857e+03 1.007618000000000e+06 
 1.225409364119965e+03 1.007979687500000e+06 
 1.225416175562052e+03 1.007606187500000e+06 
 1.225422987104197e+03 1.007647625000000e+06 
 1.225429798446312e+03 1.007710125000000e+06 
 1.225436609888427e+03 1.008030000000000e+06 
 1.225443421330572e+03 1.007688187500000e+06 
 1.225450232772717e+03 1.007769937500000e+06 
 1.225457044314862e+03 1.008534437500000e+06 
 1.225463855657006e+03 1.007938562500000e+06 
 1.225470667099144e+03 1.007973437500000e+06 
 1.225477478541317e+03 1.008056125000000e+06 
 1.225484290083463e+03 1.007871000000000e+06 
 1.225491101525637e+03 1.007821062500000e+06 
 1.225497912867810e+03 1.007991937500000e+06 
 1.225504724309983e+03 1.007775250000000e+06 
 1.225511535852187e+03 1.007909500000000e+06 
 1.225518347294361e+03 1.007610937500000e+06 
 1.225525158736556e+03 1.008083500000000e+06 
 1.225531970078730e+03 1.007692750000000e+06 
 1.225538781520961e+03 1.007658875000000e+06 
 1.225545593063165e+03 1.007849187500000e+06 
 1.225552404505397e+03 1.007814437500000e+06 
 1.225559215847599e+03 1.007415562500000e+06 
 1.225566027289802e+03 1.008066687500000e+06 
 1.225572838832064e+03 1.007908250000000e+06 
 1.225579650274267e+03 1.007861250000000e+06 
 1.225586461716521e+03 1.007674687500000e+06 
 1.225593273058752e+03 1.007880000000000e+06 
 1.225600084500984e+03 1.007720937500000e+06 
 1.225606896043246e+03 1.007657437500000e+06 
 1.225613707485507e+03 1.007993750000000e+06 
 1.225620518927768e+03 1.007830562500000e+06 
 1.225627330270057e+03 1.007731062500000e+06 
 1.225634141812319e+03 1.007842437500000e+06 
 1.225640953254609e+03 1.007797875000000e+06 
 1.225647764696863e+03 1.007823812500000e+06 
 1.225654576239183e+03 1.007500437500000e+06 
 1.225661387581473e+03 1.007676375000000e+06 
 1.225668199023763e+03 1.007974250000000e+06 
 1.225675010466053e+03 1.007819062500000e+06 
 1.225681821908373e+03 1.008027625000000e+06 
 1.225688633450693e+03 1.007801000000000e+06 
 1.225695444793011e+03 1.007585125000000e+06 
 1.225702256235330e+03 1.007903187500000e+06 
 1.225709067677642e+03 1.007723750000000e+06 
 1.225715879219992e+03 1.007785500000000e+06 
 1.225722690562310e+03 1.007453375000000e+06 
 1.225729502004659e+03 1.007802000000000e+06 
 1.225736313447007e+03 1.007988750000000e+06 
 1.225743124889355e+03 1.007616625000000e+06 
 1.225749936431705e+03 1.007883625000000e+06 
 1.225756747774081e+03 1.007494875000000e+06 
 1.225763559216459e+03 1.007857812500000e+06 
 1.225770370658829e+03 1.007384375000000e+06 
 1.225777182101177e+03 1.007800937500000e+06 
 1.225783993643585e+03 1.008001875000000e+06 
 1.225790804985962e+03 1.007606875000000e+06 
 1.225797616428339e+03 1.007808750000000e+06 
 1.225804427870746e+03 1.007598687500000e+06 
 1.225811239413153e+03 1.007838062500000e+06 
 1.225818050855560e+03 1.007617500000000e+06 
 1.225824862197966e+03 1.008171187500000e+06 
 1.225831673640365e+03 1.007525937500000e+06 
 1.225838485082801e+03 1.008009125000000e+06 
 1.225845296625208e+03 1.007838375000000e+06 
 1.225852107967643e+03 1.007437250000000e+06 
 1.225858919410079e+03 1.004629625000000e+06 
 1.225865730852514e+03 1.002533437500000e+06 
 1.225872542294979e+03 1.001901875000000e+06 
 1.225879353837416e+03 1.001722562500000e+06 
 1.225886165179880e+03 1.001583312500000e+06 
