#day	flux
1.22318610908276E+03	1.00770743750000E+06
1.22319292052307E+03	1.00807856250000E+06
1.22319973206338E+03	1.00824893750000E+06
1.22320654340366E+03	1.00793800000000E+06
1.22321335484400E+03	1.00815018750000E+06
1.22322016628431E+03	1.00798343750000E+06
1.22322697782462E+03	1.00797718750000E+06
1.22323378926496E+03	1.00767656250000E+06
1.22324060060530E+03	1.00777675000000E+06
1.22324741204564E+03	1.00799106250000E+06
1.22325422348601E+03	1.00789537500000E+06
1.22326103502637E+03	1.00809325000000E+06
1.22326784646671E+03	1.00773106250000E+06
1.22327465780711E+03	1.00753100000000E+06
1.22328146924748E+03	1.00806637500000E+06
1.22328828078785E+03	1.00797806250000E+06
1.22329509222825E+03	1.00785700000000E+06
1.22330190366865E+03	1.00797500000000E+06
1.22330871500904E+03	1.00783825000000E+06
1.22331552644944E+03	1.00770606250000E+06
1.22332301911388E+03	1.00805125000000E+06
1.22332983055430E+03	1.00785162500000E+06
1.22333664189473E+03	1.00791475000000E+06
1.22334345343518E+03	1.00787850000000E+06
1.22335026487558E+03	1.00757075000000E+06
1.22335707631604E+03	1.00771193750000E+06
1.22336388775650E+03	1.00776162500000E+06
1.22337069919695E+03	1.00774756250000E+06
1.22337751063741E+03	1.00761968750000E+06
1.22338432207787E+03	1.00765493750000E+06
1.22339113351834E+03	1.00793193750000E+06
1.22339794485883E+03	1.00820250000000E+06
1.22340475639932E+03	1.00783775000000E+06
1.22341156783980E+03	1.00764868750000E+06
1.22341837928029E+03	1.00795087500000E+06
1.22342519082080E+03	1.00770381250000E+06
1.22343200216129E+03	1.00772118750000E+06
1.22343881360180E+03	1.00794412500000E+06
1.22344562504235E+03	1.00784368750000E+06
1.22345243648285E+03	1.00741437500000E+06
1.22345924802340E+03	1.00776175000000E+06
1.22346605936391E+03	1.00786043750000E+06
1.22347287080449E+03	1.00778300000000E+06
1.22347968224503E+03	1.00802431250000E+06
1.22348649378558E+03	1.00775443750000E+06
1.22349330522615E+03	1.00784487500000E+06
1.22350011656672E+03	1.00773362500000E+06
1.22350692800729E+03	1.00768406250000E+06
1.22351373944786E+03	1.00775231250000E+06
1.22352055098843E+03	1.00741681250000E+06
1.22352736232903E+03	1.00773775000000E+06
1.22353417376964E+03	1.00795143750000E+06
1.22354098521024E+03	1.00791787500000E+06
1.22354779675084E+03	1.00803106250000E+06
1.22355460819147E+03	1.00796168750000E+06
1.22356141953207E+03	1.00790743750000E+06
1.22356823097271E+03	1.00759368750000E+06
1.22357504251333E+03	1.00780362500000E+06
1.22358185395399E+03	1.00812762500000E+06
1.22358866539462E+03	1.00769906250000E+06
1.22359547673525E+03	1.00782462500000E+06
1.22360228817594E+03	1.00772481250000E+06
1.22360909971660E+03	1.00788118750000E+06
1.22361591115726E+03	1.00788725000000E+06
1.22362272259792E+03	1.00784637500000E+06
1.22362953393861E+03	1.00766943750000E+06
1.22363634547930E+03	1.00756306250000E+06
1.22364315691999E+03	1.00776412500000E+06
1.22364996836067E+03	1.00619406250000E+06
1.22365677970139E+03	1.00334387500000E+06
1.22366359124208E+03	1.00230375000000E+06
1.22367040268280E+03	1.00195781250000E+06
1.22367721412352E+03	1.00159537500000E+06
1.22368402556427E+03	1.00113050000000E+06
1.22369083690499E+03	1.00083881250000E+06
1.22369764844573E+03	1.00104450000000E+06
1.22370445988647E+03	1.00096231250000E+06
