rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,rowupdate,pl_disc
615,HD 81040,b,Radial Velocity,1,1001.7,7,-7,0,1.94,,,0,0.526,0.042,-0.042,0,,,,,6.86,0.71,-0.71,0,Msini,,,,,,,,,0,0,0,0,09h23m47.09s,140.946198,+20d21m52.0s,20.364454,32.56,1.26,-1.37,0,7.72,,0,0,V (Johnson),5700,50,-50,0,0,0.96,0.04,-0.04,0,0,0.86,0.04,-0.04,0,0,2015-04-16,2005
614,HD 80606,b,Radial Velocity,1,111.4357,0.0008,-0.0008,0,0.449,0.006,-0.006,0,0.9332,0.0008,-0.0008,0,89.32,0.06,-0.06,0,3.94,0.11,-0.11,0,Mass,0.98,0.03,-0.03,0,,,,,0,0,0,0,09h22m37.57s,140.65654,+50d36m13.4s,50.603722,29.04,,,-1,9.001,0.019,0,0,V (Johnson),5645,45,,0,,0.97,0.04,,0,,0.98,0.01,,0,,2014-05-14,2001
610,HD 7924,b,Radial Velocity,3,5.39792,0.00025,-0.00025,0,0.05664,0.00067,-0.00069,0,0.058,0.056,-0.04,0,,,,,0.02731,0.00164,-0.0016,0,Msini,,,,,,,,,0,0,0,1,01h21m59.12s,20.496313,+76d42m37.0s,76.710281,16.82,0.13,-0.13,0,7.185,,0,0,V (Johnson),5075,83,-83,0,0,0.83,0.02,-0.04,0,0,0.78,0.03,-0.03,0,0,2015-05-14,2008
608,HD 76700,b,Radial Velocity,1,3.971,0.001,-0.001,0,0.049,0.004,-0.004,0,0,0.04,-0.04,0,,,,,0.197,0.017,-0.017,0,Msini,,,,,,,,,0,0,0,0,08h53m55.51s,133.481308,-66d48m03.6s,-66.800995,59.7,2.26,-2.45,0,8.155,0.012,0,0,V (Johnson),,,,,0,1,0.05,-0.05,0,0,,,,,0,2015-04-24,2002
607,HD 75898,b,Radial Velocity,1,418.2,5.7,-5.7,0,1.19,,,0,0.1,0.05,-0.05,0,,,,,2.51,,,0,Msini,,,,,,,,,0,0,0,0,08h53m50.80s,133.461685,+33d03m24.5s,33.056812,80.58,6.45,-7.68,0,8.03,,0,0,V (Johnson),6021,50,-50,0,0,1.28,0.13,-0.13,0,0,1.6,0.18,-0.18,0,0,2015-04-16,2007
602,HD 74156,b,Radial Velocity,2,51.645,0.003,-0.003,0,0.292,0.004,-0.004,0,0.627,0.009,-0.009,0,,,,,1.8,0.06,-0.06,0,Msini,,,,,,,,,0,0,0,0,08h42m25.12s,130.604675,+04d34m41.2s,4.578097,64.6,4.6,-4.6,0,7.614,0.012,0,0,V (Johnson),6068,44,-44,0,0,1.24,0.04,-0.04,0,0,,,,,0,2014-05-14,2003
603,HD 74156,c,Radial Velocity,2,2473,13,-13,0,3.85,0.054,-0.054,0,0.432,0.013,-0.013,0,,,,,8.06,0.37,-0.37,0,Msini,,,,,,,,,0,0,0,0,08h42m25.12s,130.604675,+04d34m41.2s,4.578097,64.6,4.6,-4.6,0,7.614,0.012,0,0,V (Johnson),6068,44,-44,0,0,1.24,0.04,-0.04,0,0,,,,,0,2014-05-14,2003
601,HD 73534,b,Radial Velocity,1,1770,40,-40,0,3.067,0.068,-0.068,0,0.074,0.071,-0.071,0,,,,,1.103,0.087,-0.087,0,Msini,,,,,,,,,0,0,1,0,08h39m15.80s,129.815842,+12d57m37.4s,12.960376,81,4.9,-4.9,0,8.23,,0,0,V (Johnson),5041,44,-44,0,0,1.23,0.06,-0.06,0,0,2.39,0.16,-0.16,0,0,2015-03-26,2008
599,HD 73526,b,Radial Velocity,2,188.9,0.1,-0.1,0,0.65,0.01,-0.01,0,0.29,0.03,-0.03,0,,,,,2.25,0.12,-0.12,0,Msini,,,,,,,,,0,0,0,0,08h37m16.48s,129.31868,-41d19m08.8s,-41.319103,94.61,8.25,-9.99,0,8.971,0.016,0,0,V (Johnson),,,,,0,1.01,0.05,-0.05,0,0,,,,,0,2014-05-14,2002
600,HD 73526,c,Radial Velocity,2,379.1,0.5,-0.5,0,1.03,0.02,-0.02,0,0.28,0.05,-0.05,0,,,,,2.25,0.13,-0.13,0,Msini,,,,,,,,,0,0,0,0,08h37m16.48s,129.31868,-41d19m08.8s,-41.319103,94.61,8.25,-9.99,0,8.971,0.016,0,0,V (Johnson),,,,,0,1.01,0.05,-0.05,0,0,,,,,0,2014-05-14,2005
598,HD 73267,b,Radial Velocity,1,1260,7,-7,0,2.198,0.025,-0.025,0,0.256,0.009,-0.009,0,,,,,3.06,0.07,-0.07,0,Msini,,,,,,,,,0,0,0,0,08h36m17.78s,129.074066,-34d27m35.9s,-34.45998,54.91,3,-3,0,8.9,,0,0,V (Johnson),5317,34,-34,0,0,0.89,0.03,-0.03,0,0,1.04,,,0,0,2015-03-26,2008
597,HD 73256,b,Radial Velocity,1,2.54858,0.00016,-0.00016,0,0.037,,,0,0.029,0.02,-0.02,0,,,,,1.87,0.49,-0.49,0,Msini,,,,,,,,,0,0,0,0,08h36m23.02s,129.095901,-30d02m15.5s,-30.037626,36.52,1,-1.06,0,8.08,,0,0,V (Johnson),5570,50,-50,0,0,1.05,,,0,0,0.89,,,0,0,2015-03-26,2003
596,HD 72659,b,Radial Velocity,1,3658,32,-32,0,4.74,0.08,-0.08,0,0.22,0.03,-0.03,0,,,,,3.15,0.14,-0.14,0,Msini,,,,,,,,,0,0,0,0,08h34m03.19s,128.51329,-01d34m05.6s,-1.568217,51.4,2.7,-2.7,0,7.46,,0,0,V (Johnson),5926,62,-62,0,0,1.06,0.04,-0.04,0,0,1.36,0.06,-0.06,0,0,2016-03-10,2002
